frame,Longitudinal Acceleration,Throttle Pedal Position,Vehicle Speed,Engine RPM,Left Front Wheel Speed,Right Front Wheel Speed,Left Rear Wheel Speed,Right Rear Wheel Speed
68,0.0,0.0,3.91,640.0,37.5,37.5,38.0,37.0
69,0.0,0.0,3.91,642.0,37.5,37.5,37.5,37.0
70,0.08,0.0,3.9,641.0,37.0,37.5,37.0,37.5
71,0.08,0.0,3.88,645.0,37.5,37.5,37.5,38.0
72,-0.08,0.0,3.95,646.0,38.0,38.5,38.5,38.5
73,0.0,0.0,4.01,642.0,39.0,39.0,38.5,38.0
74,0.08,0.0,4.01,649.0,38.0,38.0,38.5,38.0
75,0.32,0.0,3.93,657.0,37.0,37.5,37.0,37.0
76,0.32,0.0,3.82,655.0,36.5,36.5,37.5,36.5
77,0.16,0.0,3.8,647.0,37.0,37.0,37.0,37.0
78,0.0,0.0,3.93,650.0,38.0,40.0,37.5,39.0
79,-0.16,0.0,4.05,651.0,38.0,39.0,37.5,39.0
80,0.16,0.0,3.95,655.0,36.5,40.0,35.5,39.5
81,0.08,0.0,3.91,664.0,36.5,40.5,36.0,39.5
82,0.0,0.0,3.96,680.0,37.5,41.5,35.5,41.0
83,0.0,0.0,4.35,682.0,38.0,44.0,35.0,41.0
84,0.0,0.0,4.45,684.0,41.0,46.5,35.0,43.0
85,0.0,0.0,4.57,689.0,40.5,47.5,36.0,45.0
86,0.08,0.0,4.6,682.0,40.0,48.0,33.5,45.0
87,0.32,0.0,4.31,680.0,41.0,49.0,32.0,43.5
88,0.24,0.0,3.93,681.0,40.0,50.5,31.0,44.0
89,0.16,0.0,3.89,681.0,39.0,51.5,31.5,44.0
90,0.0,0.0,3.9,687.0,39.5,50.5,32.0,44.0
91,-0.08,0.0,3.96,680.0,40.5,50.0,32.0,45.5
92,0.0,0.0,4.03,682.0,41.5,51.0,32.5,44.0
93,0.0,0.0,4.01,693.0,40.0,51.0,32.5,43.5
94,0.0,0.0,3.91,688.0,39.5,49.0,31.5,43.5
95,0.16,0.0,3.83,687.0,39.0,48.0,30.5,41.5
96,0.08,0.0,3.85,675.0,38.0,46.5,31.0,42.5
97,0.16,0.0,3.78,682.0,38.5,47.0,31.0,41.0
98,0.0,0.0,3.77,681.0,37.5,47.5,30.5,41.0
99,-0.16,0.0,3.78,687.0,37.5,49.0,31.5,42.5
100,-0.24,0.0,3.89,689.0,36.5,48.0,32.0,42.0
101,-0.08,0.0,3.85,682.0,35.5,44.5,32.5,41.0
102,0.0,0.0,3.83,675.0,35.5,42.0,33.0,39.0
103,0.24,0.0,3.88,683.0,33.0,39.0,32.5,38.0
104,0.32,0.0,3.63,688.0,31.0,37.0,31.0,36.0
105,0.48,0.0,3.39,683.0,30.0,35.0,30.0,33.5
106,0.48,0.0,3.26,679.0,29.5,32.5,29.0,32.0
107,0.48,0.0,3.06,676.0,27.5,30.0,28.0,29.5
108,0.48,0.0,2.93,677.0,26.0,28.5,23.0,25.5
109,0.72,0.0,2.56,685.0,22.5,24.5,22.5,24.0
110,0.96,0.0,2.25,718.0,19.5,21.0,19.0,20.5
111,0.96,0.0,1.96,717.0,17.0,18.0,16.5,17.0
112,0.72,0.0,1.65,676.0,15.0,15.5,14.0,14.0
113,0.56,0.0,1.39,676.0,13.5,13.5,12.0,12.0
114,0.72,0.0,1.19,670.0,11.5,10.0,11.0,10.0
115,0.72,0.0,0.0,685.0,9.5,8.5,8.5,8.5
116,0.88,0.0,0.0,686.0,6.5,0.0,6.0,0.0
117,0.72,2.35,0.0,692.0,0.0,0.0,0.0,0.0
118,0.88,5.1,0.0,729.0,0.0,0.0,0.0,0.0
119,0.56,8.24,0.0,781.0,0.0,0.0,0.0,0.0
120,0.56,9.02,0.0,860.0,0.0,0.0,0.0,0.0
121,0.64,9.8,0.0,938.0,9.5,7.5,9.0,7.5
122,0.56,11.76,0.0,1029.0,13.5,10.5,12.5,9.0
123,0.64,12.55,1.29,1102.0,17.0,13.5,16.0,12.0
124,0.88,12.55,1.61,1158.0,21.5,17.5,19.5,15.0
125,0.96,12.55,2.04,1189.0,25.5,21.0,24.0,18.0
126,0.96,12.55,2.54,1203.0,32.0,25.0,29.0,21.5
127,1.12,7.45,2.98,1186.0,39.0,31.5,35.0,25.5
128,1.2,7.45,3.44,1130.0,43.0,35.0,39.5,29.5
129,0.88,7.45,3.73,1083.0,48.5,38.0,42.5,32.5
130,0.64,0.0,4.0,1032.0,51.0,40.0,45.5,33.5
131,0.32,0.0,4.18,983.0,54.0,42.0,47.5,33.5
132,0.16,0.0,4.29,884.0,55.5,44.5,49.0,36.0
133,0.16,0.0,4.44,826.0,56.5,45.0,49.0,36.5
134,0.0,0.0,4.49,781.0,58.0,46.0,50.5,36.5
135,0.0,0.0,4.56,757.0,59.5,46.5,51.5,37.0
136,0.0,0.0,4.72,713.0,59.5,47.5,52.5,38.0
137,-0.08,0.0,4.65,678.0,59.5,48.0,52.5,37.0
138,-0.32,0.0,4.67,671.0,59.5,47.0,51.5,38.5
139,-0.08,0.0,4.64,663.0,59.0,46.5,52.0,37.5
140,-0.16,0.0,4.69,664.0,59.0,46.5,52.0,38.0
141,-0.08,0.0,4.69,665.0,60.0,47.0,52.0,38.0
142,-0.08,0.0,4.69,671.0,58.0,47.5,52.0,38.0
143,-0.08,0.0,4.7,688.0,59.5,47.5,52.5,38.5
144,0.0,0.0,4.82,698.0,60.5,48.5,54.0,40.5
145,0.24,0.0,5.64,691.0,60.0,49.5,54.0,41.5
146,0.0,0.0,5.66,693.0,59.5,48.0,55.5,42.5
147,0.0,0.0,5.35,700.0,58.5,49.5,55.5,44.5
148,-0.16,0.0,5.78,689.0,59.5,50.0,56.0,45.5
149,0.0,0.0,5.8,696.0,58.0,50.0,55.5,46.0
150,0.08,0.0,5.74,696.0,57.5,49.5,55.5,47.0
151,0.08,8.63,5.87,707.0,59.0,51.0,56.0,50.0
152,0.0,10.98,5.62,850.0,58.0,52.0,58.0,51.0
153,0.0,8.63,5.8,983.0,59.5,53.5,60.5,54.0
154,0.56,1.18,6.05,1032.0,61.0,55.5,62.5,59.0
155,0.88,0.78,6.22,995.0,64.0,59.5,62.5,56.0
156,0.72,5.49,6.29,919.0,63.5,58.0,64.0,59.5
157,0.56,9.02,6.49,907.0,62.5,62.0,63.0,62.5
158,0.56,9.41,6.56,921.0,63.0,63.5,64.0,64.5
159,0.48,9.41,6.89,982.0,64.5,67.0,65.0,68.0
160,0.56,9.41,7.0,1033.0,65.5,69.0,66.5,71.5
161,0.64,9.41,7.24,1083.0,69.0,71.0,69.0,70.5
162,0.48,0.39,7.49,1098.0,69.0,71.5,72.5,74.0
163,0.64,0.0,7.62,1042.0,70.0,76.0,71.5,75.5
164,0.32,0.0,7.77,944.0,73.5,79.0,73.0,78.0
165,0.08,0.0,7.78,862.0,75.5,80.5,74.0,77.0
166,-0.32,0.0,7.93,831.0,73.5,81.5,72.0,80.0
167,-0.24,0.0,7.89,800.0,72.5,81.5,71.5,79.5
168,0.0,0.0,7.77,786.0,73.0,85.0,70.5,79.5
169,-0.24,6.27,7.89,794.0,75.0,88.0,69.0,81.0
170,-0.88,9.8,8.49,855.0,72.5,85.5,69.5,83.0
171,-0.64,8.63,8.67,978.0,72.0,85.5,68.5,83.5
172,0.0,9.8,8.29,1020.0,71.0,85.5,73.5,82.5
173,0.0,14.51,8.51,1052.0,73.5,85.0,67.5,82.0
174,0.08,14.12,8.53,1152.0,75.5,90.0,70.5,86.5
175,0.48,13.73,9.33,1240.0,79.0,93.5,74.0,89.5
176,0.64,12.94,9.59,1290.0,80.5,94.5,79.0,93.0
177,0.56,9.02,9.72,1302.0,84.0,99.0,79.0,93.0
178,0.56,9.02,9.93,1240.0,85.0,102.5,80.5,97.0
179,0.56,9.41,10.21,1191.0,88.0,102.5,82.5,99.0
180,0.24,9.8,10.31,1174.0,89.5,103.5,85.0,100.0
181,0.16,13.73,10.53,1199.0,91.0,105.0,87.0,102.0
182,0.24,15.69,9.97,1259.0,92.5,106.5,90.5,104.5
183,0.32,16.86,10.27,1366.0,95.0,108.0,93.5,107.0
184,0.64,17.25,10.59,1442.0,97.5,110.5,97.0,109.5
185,0.72,17.65,10.95,1479.0,101.5,114.0,99.5,113.0
186,0.96,17.65,11.22,1517.0,104.0,117.5,104.0,116.5
187,1.04,18.04,11.71,1551.0,108.5,121.5,108.5,120.5
188,1.04,18.82,12.15,1573.0,112.5,124.5,113.5,125.5
189,1.04,19.22,12.64,1619.0,117.5,128.5,118.5,129.0
190,1.12,19.22,13.12,1661.0,122.0,131.0,124.0,133.0
191,1.2,19.22,13.61,1695.0,127.0,134.5,129.5,136.5
192,1.36,19.22,14.11,1707.0,133.0,138.5,135.5,140.0
193,1.2,19.61,14.56,1738.0,137.0,141.0,140.0,143.0
194,1.2,20.39,14.99,1768.0,142.0,144.0,145.5,147.5
195,1.2,21.18,15.43,1813.0,146.5,149.0,150.0,151.5
196,1.36,21.18,15.86,1869.0,151.0,152.0,154.5,155.5
197,1.44,21.18,16.42,1919.0,156.0,158.0,159.0,161.5
198,1.52,21.18,16.88,1938.0,159.0,162.5,163.5,166.0
199,1.44,21.18,17.39,1979.0,164.0,167.5,168.0,171.0
200,1.36,21.18,17.82,2014.0,168.5,172.5,171.5,175.5
201,1.36,20.0,18.29,2053.0,172.0,176.5,176.0,180.5
202,1.36,17.25,18.62,2056.0,176.0,180.0,177.5,182.0
203,1.12,18.04,18.78,2033.0,179.5,183.5,180.0,183.5
204,0.64,20.39,19.16,2050.0,181.0,183.5,184.0,186.0
205,0.56,20.39,19.41,2020.0,184.0,186.0,188.0,189.5
206,0.64,20.39,19.69,1927.0,187.0,187.5,191.0,192.0
207,0.96,20.39,20.07,1776.0,191.0,192.0,193.0,194.5
208,1.2,20.39,20.36,1644.0,194.5,194.5,196.5,197.5
209,1.04,21.18,20.63,1608.0,196.5,198.0,200.0,201.0
210,0.88,21.18,20.87,1602.0,200.5,200.5,202.5,202.0
211,0.72,21.18,21.26,1624.0,203.0,201.5,206.0,205.0
212,0.72,24.31,21.46,1653.0,205.5,205.5,208.0,208.0
213,0.88,25.1,21.82,1720.0,207.5,207.5,211.5,211.5
214,1.04,25.1,22.1,1773.0,212.0,210.5,215.0,215.5
215,1.04,25.1,22.49,1785.0,215.0,213.0,218.5,218.0
216,1.04,25.1,22.82,1798.0,217.5,216.5,221.0,221.5
217,1.12,25.1,23.24,1819.0,221.5,219.5,224.0,224.5
218,1.2,25.1,23.48,1820.0,224.0,224.0,228.0,227.5
219,1.12,24.71,23.85,1816.0,227.5,226.5,232.0,232.0
220,1.12,22.35,24.21,1822.0,231.5,231.0,235.0,235.0
221,1.04,22.35,24.56,1777.0,235.5,234.5,237.5,238.0
222,0.96,22.35,24.98,1753.0,238.5,237.0,241.0,241.0
223,0.88,22.35,25.2,1752.0,241.5,241.0,245.5,245.5
224,0.88,22.35,25.56,1765.0,244.0,243.5,246.5,247.0
225,0.88,21.96,25.76,1765.0,246.5,245.5,250.0,249.0
226,0.72,22.35,26.02,1770.0,249.0,249.0,252.0,250.5
227,0.72,22.35,26.35,1784.0,251.5,250.5,254.5,253.5
228,0.72,22.35,26.64,1795.0,255.0,253.0,257.5,256.5
229,0.72,22.75,26.82,1812.0,256.0,255.0,259.0,258.5
230,0.72,23.14,27.04,1825.0,258.5,257.5,262.0,261.5
231,0.72,23.53,27.25,1822.0,260.5,260.5,264.0,263.5
232,0.88,23.53,27.6,1779.0,262.5,262.0,265.5,265.0
233,0.88,23.53,27.76,1767.0,265.5,264.5,268.5,268.0
234,0.88,23.53,28.04,1770.0,267.5,267.5,272.0,271.5
235,0.72,23.53,28.28,1769.0,270.0,270.5,274.0,273.0
236,0.88,23.92,28.65,1780.0,273.5,273.0,277.5,277.0
237,0.72,24.31,28.84,1746.0,276.0,275.5,279.5,279.0
238,0.88,24.31,29.1,1740.0,278.0,277.5,282.0,282.0
239,0.88,24.31,29.48,1680.0,281.0,281.0,284.0,284.0
240,0.88,24.71,29.86,1718.0,284.5,284.5,289.0,289.5
241,0.88,24.31,30.01,1689.0,287.0,286.0,288.5,289.5
242,0.72,24.71,30.24,1744.0,289.0,288.0,292.5,293.5
243,0.72,24.31,30.46,1731.0,291.0,292.0,294.5,295.0
244,0.72,24.71,30.77,1748.0,292.0,292.5,296.0,296.5
245,0.88,24.71,30.86,1766.0,294.5,295.0,299.0,299.5
246,0.88,24.71,31.24,1779.0,298.0,298.5,302.0,302.5
247,0.88,24.71,31.45,1793.0,300.5,300.0,304.5,305.0
248,0.88,24.71,31.74,1805.0,303.0,302.0,306.0,305.5
249,0.88,24.31,32.01,1825.0,305.5,305.0,309.0,309.0
250,0.72,22.35,32.17,1834.0,307.5,308.0,310.0,310.0
251,0.72,22.35,32.36,1842.0,308.0,309.0,312.0,313.5
252,0.72,22.35,32.45,1853.0,310.5,311.0,314.0,313.5
253,0.64,19.22,32.74,1860.0,311.5,312.5,315.0,315.0
254,0.72,18.82,32.76,1866.0,313.0,312.5,316.0,316.5
255,0.56,20.39,32.86,1864.0,314.5,313.0,316.5,316.0
256,0.56,21.96,32.97,1918.0,315.0,314.5,319.0,318.5
257,0.32,21.96,33.16,2048.0,316.0,316.0,320.0,319.5
258,0.64,21.57,33.34,2000.0,317.0,317.0,320.5,321.0
259,0.72,21.18,33.52,2013.0,320.5,319.0,323.0,323.5
260,0.64,21.18,33.63,2007.0,321.5,321.0,324.0,323.5
261,0.64,17.25,33.83,2028.0,323.5,322.5,325.5,325.5
262,0.56,13.73,33.86,1974.0,325.0,324.0,326.0,325.5
263,0.32,18.04,33.89,2003.0,325.0,324.5,328.0,326.5
264,0.16,20.39,34.05,2063.0,325.5,323.5,327.5,327.5
265,0.32,20.39,34.14,2112.0,327.5,324.0,328.5,327.5
266,0.48,20.0,34.24,2005.0,327.5,326.0,330.5,329.5
267,0.48,16.47,34.33,1763.0,329.0,326.5,330.5,330.0
268,0.48,15.29,34.41,1545.0,330.0,328.5,331.5,330.5
269,0.48,14.12,34.39,1408.0,330.5,329.0,332.5,331.5
270,0.24,13.73,34.43,1321.0,330.5,329.5,333.5,331.0
271,0.16,18.82,34.41,1295.0,331.0,327.5,331.5,330.5
272,0.16,21.18,34.51,1340.0,330.5,328.0,333.0,332.5
273,0.16,21.96,34.58,1409.0,331.5,329.0,332.0,332.0
274,0.24,22.35,34.67,1457.0,332.0,331.5,335.0,333.5
275,0.32,22.35,34.7,1480.0,333.0,331.0,336.0,335.0
276,0.48,22.35,34.96,1485.0,333.0,331.5,336.0,335.5
277,0.48,18.43,35.03,1464.0,336.5,335.5,337.5,337.0
278,0.32,14.12,35.25,1382.0,340.0,338.5,341.5,341.0
279,0.24,14.9,35.5,1290.0,340.0,338.5,342.0,340.5
280,0.16,19.22,35.49,1365.0,339.0,339.5,345.5,344.0
281,0.16,17.65,35.47,1417.0,343.0,340.5,345.5,345.0
282,0.16,14.51,35.92,1410.0,344.0,342.5,346.0,345.0
283,0.16,14.9,36.05,1332.0,344.5,344.0,347.0,347.0
284,0.16,14.51,36.15,1303.0,347.0,345.5,348.5,348.0
285,0.16,11.37,36.31,1240.0,349.0,347.5,349.5,348.0
286,0.08,11.37,36.42,1254.0,350.0,348.0,351.5,350.5
287,0.08,17.65,36.62,1264.0,351.0,350.0,349.5,349.0
288,0.0,20.39,36.75,1373.0,351.0,350.5,353.0,353.5
289,0.16,20.78,36.9,1400.0,353.0,350.5,355.5,355.0
290,0.24,20.39,37.09,1286.0,354.0,353.0,356.5,355.5
291,0.24,20.78,37.27,1288.0,356.5,355.0,359.0,358.5
292,0.24,19.61,37.36,1289.0,357.5,357.5,362.0,362.0
293,0.32,9.41,37.51,1279.0,359.5,359.5,363.0,363.0
294,0.16,10.2,37.66,1271.0,361.5,360.0,361.5,361.5
295,0.08,12.16,37.76,1287.0,362.5,361.5,362.5,363.0
296,0.08,18.04,37.91,1298.0,364.0,362.5,363.5,364.0
297,0.08,16.08,37.85,1380.0,363.0,363.0,367.5,368.0
298,0.16,15.69,38.17,1346.0,365.0,364.5,367.0,367.0
299,0.24,16.08,38.09,1298.0,362.0,364.0,369.5,368.0
300,0.16,19.22,38.68,1305.0,368.0,367.5,368.5,367.5
301,-0.08,21.18,38.39,1342.0,369.5,365.5,372.5,368.0
302,0.24,17.65,38.16,1341.0,367.0,367.0,370.0,370.5
303,0.24,17.25,38.61,1326.0,373.0,369.0,374.0,374.0
304,0.16,14.12,38.91,1326.0,373.5,371.0,375.5,375.0
305,0.16,9.41,39.05,1322.0,373.0,372.0,376.5,375.0
306,0.24,5.1,38.98,1323.0,373.0,373.0,375.5,375.0
307,0.08,10.98,38.95,1334.0,374.0,373.5,374.5,375.5
308,0.0,12.16,39.07,1339.0,375.5,374.5,376.5,377.0
309,0.0,13.73,39.15,1338.0,375.5,376.0,376.5,377.0
310,0.0,18.04,39.18,1374.0,376.5,376.0,374.5,374.5
311,0.0,27.06,39.3,1491.0,377.0,376.0,379.5,379.0
312,0.24,26.67,39.71,1531.0,378.5,377.5,381.5,381.5
313,0.48,21.96,39.86,1394.0,381.0,378.5,383.0,383.0
314,0.56,14.9,40.02,1373.0,383.5,382.0,384.5,384.5
315,0.32,10.2,40.06,1367.0,384.0,383.0,386.5,387.0
316,0.16,1.18,40.11,1358.0,384.5,383.5,386.0,386.0
317,0.08,1.57,40.11,1363.0,385.0,383.0,385.0,386.0
318,0.0,6.67,39.98,1366.0,384.5,384.0,385.5,385.5
319,0.0,10.59,40.0,1366.0,385.5,383.5,385.5,384.5
320,0.0,15.69,40.05,1449.0,383.0,382.0,385.5,384.0
321,-0.08,16.86,40.09,1525.0,385.0,383.5,387.0,386.5
322,0.08,14.51,40.22,1504.0,385.5,384.5,387.5,387.5
323,0.16,9.02,40.26,1453.0,386.5,385.0,387.5,387.0
324,0.08,5.88,40.18,1359.0,385.5,384.5,386.5,386.0
325,0.0,5.88,40.17,1383.0,387.5,387.0,385.5,386.0
326,0.0,5.88,40.25,1416.0,386.0,387.0,387.5,389.0
327,-0.08,3.14,40.2,1436.0,386.0,386.5,387.0,389.0
328,0.0,0.0,40.24,1394.0,385.5,384.5,384.5,387.0
329,0.0,0.0,39.97,1356.0,384.5,383.0,384.0,384.0
330,-0.08,11.37,39.93,1362.0,383.5,382.0,383.0,384.0
331,-0.08,11.37,39.95,1430.0,382.5,382.5,383.5,384.5
332,-0.08,12.16,39.84,1475.0,382.5,381.0,384.0,383.5
333,0.0,17.65,39.86,1458.0,383.0,381.0,384.5,384.0
334,0.0,20.78,39.98,1556.0,383.0,382.5,385.5,385.5
335,0.16,9.8,40.05,1548.0,383.5,382.0,386.5,387.0
336,0.24,0.0,40.08,1410.0,383.5,383.0,385.0,385.5
337,0.16,0.0,39.98,1358.0,382.5,386.5,383.5,384.0
338,0.0,0.0,40.02,1359.0,384.0,382.5,381.0,385.5
339,-0.08,0.39,39.87,1343.0,383.5,381.0,382.0,383.0
340,-0.08,0.78,39.69,1337.0,382.0,381.0,381.5,382.5
341,-0.08,1.96,39.67,1367.0,382.0,380.0,382.0,382.0
342,-0.08,5.49,39.58,1347.0,379.5,378.5,380.5,381.5
343,-0.08,9.8,39.57,1371.0,379.5,378.5,381.5,380.0
344,-0.16,10.59,39.73,1415.0,381.5,380.0,382.5,383.0
345,-0.16,9.41,39.66,1441.0,380.5,380.5,382.0,381.0
346,0.0,5.1,39.58,1371.0,379.0,378.0,379.0,378.5
347,0.08,4.71,39.37,1355.0,379.0,377.0,380.0,379.5
348,0.0,5.49,39.37,1346.0,380.0,378.5,380.0,380.0
349,0.0,7.45,39.44,1343.0,379.5,378.5,380.0,379.0
350,-0.08,9.02,39.4,1346.0,378.0,377.0,378.0,378.0
351,0.0,9.02,39.33,1341.0,377.0,375.5,378.0,378.5
352,0.0,9.02,39.25,1342.0,377.5,375.0,377.5,378.0
353,0.0,9.41,39.22,1335.0,376.5,374.5,376.5,377.0
354,0.0,9.8,39.16,1336.0,376.5,375.0,377.0,377.0
355,0.0,9.8,39.16,1334.0,375.5,373.5,376.0,375.0
356,0.0,9.8,39.06,1335.0,375.0,372.5,376.0,376.0
357,0.0,9.8,39.0,1340.0,374.5,374.0,376.0,375.5
358,0.0,10.2,39.0,1330.0,375.0,374.0,376.0,376.0
359,0.0,10.59,38.95,1330.0,374.5,373.5,375.5,375.0
360,0.0,10.98,38.94,1330.0,374.5,373.0,375.5,375.0
361,0.0,8.24,38.99,1330.0,374.0,372.5,374.5,374.5
362,0.08,3.53,38.92,1327.0,373.0,371.5,373.5,373.5
363,0.0,2.75,38.82,1323.0,373.0,371.5,372.5,373.5
364,0.0,3.14,38.71,1318.0,371.5,371.0,371.5,373.0
365,0.0,4.71,38.59,1313.0,370.0,368.5,371.0,371.5
366,-0.08,6.27,38.41,1320.0,370.0,370.0,370.5,371.0
367,-0.08,6.27,38.48,1309.0,369.5,368.5,368.5,370.5
368,0.0,0.0,38.4,1310.0,368.0,366.0,368.0,369.0
369,0.0,0.0,38.18,1301.0,367.0,366.0,367.5,368.5
370,0.0,0.0,38.1,1297.0,366.5,366.0,366.5,367.5
371,-0.08,0.0,38.04,1276.0,365.5,363.5,366.0,367.0
372,-0.08,0.0,37.72,1283.0,362.0,361.0,362.5,362.5
373,-0.16,0.0,37.56,1276.0,361.0,360.5,361.0,361.0
374,-0.16,0.0,37.31,1264.0,360.0,358.0,358.5,357.5
375,-0.24,0.0,37.2,1264.0,358.5,356.5,356.0,356.0
376,-0.24,0.0,37.03,1268.0,355.0,354.5,355.5,354.5
377,-0.24,0.0,36.74,1259.0,353.0,351.5,352.0,352.0
378,-0.24,0.78,36.45,1244.0,350.0,350.0,349.5,349.5
379,-0.24,6.27,36.14,1238.0,349.0,349.0,349.0,348.5
380,-0.24,9.8,36.1,1236.0,347.5,345.5,347.0,346.0
381,-0.16,8.24,35.96,1250.0,345.5,344.5,345.5,345.5
382,-0.08,6.67,36.1,1306.0,346.0,345.0,345.0,345.0
383,0.0,6.67,35.92,1329.0,344.0,344.5,346.5,347.5
384,0.0,6.67,35.92,1298.0,343.5,343.0,345.0,345.0
385,0.08,6.67,35.91,1292.0,342.5,343.0,343.0,343.0
386,0.0,6.67,35.78,1288.0,343.5,343.5,344.5,345.0
387,0.0,5.1,35.91,1283.0,342.0,344.0,345.0,346.0
388,0.0,8.63,35.87,1264.0,345.5,342.0,346.0,344.5
389,0.0,10.59,35.92,1282.0,341.5,343.5,346.0,340.5
390,0.0,13.33,35.75,1300.0,342.5,342.5,346.5,345.0
391,0.0,13.73,35.87,1278.0,343.0,344.0,345.0,345.0
392,0.08,13.73,35.92,1225.0,345.5,346.0,346.5,347.0
393,0.16,13.73,36.11,1249.0,346.0,345.0,347.0,348.5
394,0.16,2.75,36.14,1232.0,345.5,344.0,347.5,347.5
395,0.16,0.0,36.16,1225.0,347.5,346.0,347.0,347.0
