frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,ETC Directional Duty Cycle,Engine Speed,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 Short Term ADAP
55,17.7,0.79,4.21,-9.99,688.0,2448.0,2384.0,0.38
56,17.7,0.79,4.21,-9.16,685.0,2344.0,2376.0,0.38
57,17.7,0.79,4.21,-7.91,685.0,2328.0,2368.0,0.19
58,17.7,0.8,4.21,-7.07,681.0,2344.0,2368.0,0.19
59,17.7,0.8,4.21,-7.49,685.0,2320.0,2352.0,-0.01
60,17.7,0.8,4.2,-7.91,688.0,2344.0,2408.0,-0.2
61,17.7,0.8,4.2,-9.57,685.0,2352.0,2416.0,-0.01
62,17.7,0.79,4.21,-11.66,683.0,2344.0,2360.0,2.53
63,17.7,0.79,4.21,-11.66,684.0,2408.0,2368.0,2.73
64,17.7,0.79,4.21,-14.22,690.0,2440.0,2368.0,3.31
65,17.7,0.79,4.21,-13.8,681.0,2432.0,2448.0,3.31
66,17.7,0.79,4.21,-15.89,681.0,2384.0,2432.0,0.97
67,17.76,0.79,4.21,-14.57,673.0,2360.0,2432.0,0.97
68,17.76,0.79,4.21,-11.71,680.0,2328.0,2392.0,0.97
69,17.76,0.79,4.21,-11.71,679.0,2328.0,2336.0,0.77
70,17.76,0.79,4.21,-11.77,677.0,2328.0,2328.0,0.58
71,17.76,0.79,4.21,-13.8,677.0,2328.0,2304.0,0.58
72,17.76,0.79,4.21,-17.56,682.0,2368.0,2336.0,2.73
73,17.76,0.79,4.21,-16.31,671.0,2336.0,2304.0,2.73
74,17.82,0.79,4.21,-15.89,669.0,2344.0,2280.0,2.73
75,17.82,0.79,4.21,-13.03,670.0,2264.0,2352.0,0.19
76,17.82,0.79,4.21,-11.35,673.0,2296.0,2368.0,0.19
77,17.82,0.79,4.21,-12.55,673.0,2248.0,2304.0,-0.01
78,17.82,0.79,4.21,-15.13,669.0,2256.0,2320.0,-0.01
79,17.82,0.79,4.21,-17.66,669.0,2248.0,2256.0,-0.2
80,17.82,0.79,4.22,-17.24,667.0,2224.0,2272.0,-0.2
81,17.82,0.79,4.21,-14.29,668.0,2320.0,2224.0,2.14
82,17.82,0.79,4.22,-13.03,666.0,2296.0,2264.0,2.14
83,17.82,0.79,4.22,-17.15,663.0,2280.0,2256.0,2.34
84,17.82,0.78,4.22,-17.24,665.0,2352.0,2304.0,2.34
85,17.88,0.78,4.22,-16.73,655.0,2192.0,2280.0,-0.01
86,17.88,0.78,4.22,-17.66,656.0,2208.0,2320.0,-0.01
87,17.88,0.78,4.22,-15.97,659.0,2200.0,2336.0,-0.2
88,17.88,0.78,4.22,-16.82,657.0,2296.0,2240.0,2.14
89,17.88,0.78,4.22,-17.66,656.0,2320.0,2280.0,2.14
90,17.88,0.78,4.22,-17.24,653.0,2280.0,2256.0,2.34
91,17.94,0.78,4.22,-15.56,649.0,2256.0,2224.0,-0.01
92,17.94,0.78,4.22,-14.29,652.0,2200.0,2288.0,-0.2
93,17.94,0.78,4.22,-15.13,648.0,2224.0,2320.0,-0.2
94,17.94,0.78,4.22,-15.56,649.0,2176.0,2264.0,-0.4
95,17.94,0.78,4.22,-18.5,648.0,2176.0,2264.0,-0.59
96,17.94,0.78,4.22,-16.4,653.0,2168.0,2264.0,-0.79
97,17.94,0.78,4.22,-16.82,654.0,2200.0,2176.0,-0.79
98,17.94,0.78,4.22,-16.82,647.0,2208.0,2184.0,-0.98
99,17.94,0.78,4.22,-15.56,647.0,2208.0,2184.0,-1.18
100,17.94,0.78,4.22,-16.4,641.0,2232.0,2152.0,-1.37
101,17.94,0.78,4.22,-17.24,642.0,2128.0,2192.0,-1.57
102,17.94,0.78,4.22,-18.92,640.0,2184.0,2200.0,-1.76
103,17.99,0.77,4.23,-15.13,639.0,2136.0,2184.0,-1.96
104,18.05,0.77,4.23,-16.82,637.0,2144.0,2168.0,-1.96
105,18.05,0.77,4.22,-13.45,635.0,2120.0,2168.0,-2.15
106,18.05,0.78,4.22,-14.71,634.0,2112.0,2144.0,-2.35
107,18.05,0.78,4.23,-16.4,628.0,2120.0,2160.0,-2.55
108,18.05,0.77,4.23,-18.08,630.0,2112.0,2152.0,-2.55
109,18.05,0.77,4.23,-17.24,627.0,2104.0,2160.0,-2.74
110,18.05,0.77,4.23,-16.82,622.0,2120.0,2152.0,-2.74
111,17.99,0.77,4.23,-16.82,620.0,2080.0,2144.0,-2.74
112,17.99,0.77,4.23,-14.71,617.0,2088.0,2208.0,-2.74
113,17.99,0.77,4.23,-13.8,622.0,2112.0,2208.0,-2.74
114,17.99,0.77,4.23,-15.47,624.0,2128.0,2208.0,-2.55
115,17.99,0.77,4.23,-17.98,619.0,2200.0,2176.0,-0.01
116,17.99,0.77,4.23,-17.15,617.0,2200.0,2152.0,-0.01
117,17.99,0.77,4.23,-17.24,615.0,2176.0,2144.0,-0.01
118,17.99,0.77,4.23,-17.24,617.0,2176.0,2168.0,0.19
119,17.99,0.77,4.23,-16.82,619.0,2096.0,2120.0,-2.35
120,17.99,0.77,4.23,-17.98,622.0,2112.0,2136.0,-2.35
121,17.99,0.77,4.23,-19.34,619.0,2088.0,2152.0,-2.55
122,18.11,0.76,4.23,-15.47,609.0,2080.0,2096.0,-2.74
123,18.11,0.77,4.23,-13.45,615.0,2056.0,2120.0,-2.94
124,18.11,0.77,4.23,-14.29,610.0,2080.0,2080.0,-3.13
125,18.11,0.76,4.23,-12.13,609.0,2072.0,2040.0,-3.13
126,18.11,0.77,4.23,-15.47,610.0,1992.0,2032.0,-3.33
127,18.11,0.76,4.23,-18.5,604.0,2016.0,2072.0,-3.52
128,18.11,0.76,4.24,-17.66,609.0,2016.0,2176.0,-3.52
129,18.11,0.76,4.24,-17.66,605.0,1992.0,2176.0,-3.52
130,18.11,0.76,4.24,-17.56,607.0,2008.0,2144.0,-3.33
131,18.11,0.76,4.24,-17.66,605.0,2072.0,2096.0,-0.79
132,18.11,0.76,4.24,-19.24,606.0,2072.0,2040.0,-0.79
133,18.11,0.76,4.24,-17.66,603.0,2120.0,2056.0,-0.59
134,18.11,0.76,4.24,-16.73,601.0,2064.0,2032.0,-0.59
135,18.11,0.76,4.24,-17.66,601.0,2000.0,1992.0,-2.94
136,18.11,0.76,4.24,-16.4,600.0,2024.0,2008.0,-2.94
137,18.11,0.76,4.24,-15.47,591.0,2016.0,2080.0,-3.13
138,18.11,0.76,4.24,-13.87,591.0,2016.0,2072.0,-3.13
139,18.11,0.76,4.24,-15.06,599.0,2008.0,2072.0,-3.13
140,18.11,0.76,4.24,-14.64,599.0,2016.0,2088.0,-3.33
141,18.11,0.76,4.24,-14.22,595.0,2016.0,2024.0,-3.33
142,18.11,0.76,4.24,-14.22,594.0,1984.0,2000.0,-3.52
143,18.11,0.76,4.24,-15.56,598.0,1976.0,2032.0,-3.52
144,18.11,0.76,4.24,-15.06,598.0,2048.0,2000.0,-1.18
145,18.11,0.76,4.24,-15.06,601.0,2056.0,2000.0,-1.18
146,18.11,0.76,4.24,-15.06,597.0,2072.0,2016.0,-1.18
147,18.11,0.76,4.24,-15.13,597.0,2040.0,2032.0,-1.18
148,18.11,0.76,4.24,-15.06,601.0,2016.0,2080.0,-3.52
149,18.11,0.76,4.24,-15.06,600.0,1976.0,2080.0,-3.52
150,18.11,0.76,4.24,-15.06,598.0,1976.0,2104.0,-3.72
151,18.11,0.76,4.24,-15.47,600.0,1984.0,2064.0,-3.72
152,18.11,0.76,4.24,-15.47,589.0,1960.0,1992.0,-3.91
153,18.11,0.76,4.24,-15.97,593.0,2056.0,2024.0,-1.57
154,18.11,0.76,4.24,-15.89,593.0,2064.0,2040.0,-1.37
155,18.11,0.76,4.24,-16.31,595.0,2056.0,2032.0,-0.98
156,18.11,0.76,4.24,-19.24,589.0,2072.0,2000.0,-0.79
157,18.11,0.76,4.24,-17.24,590.0,2072.0,1992.0,-0.79
158,18.11,0.76,4.24,-17.15,592.0,1992.0,2016.0,-3.13
159,18.11,0.76,4.24,-15.47,590.0,2008.0,2000.0,-3.33
160,18.11,0.76,4.24,-16.31,596.0,1992.0,1984.0,-3.33
161,18.11,0.76,4.24,-16.82,595.0,2000.0,1992.0,-3.52
162,18.11,0.76,4.24,-16.73,594.0,1992.0,1992.0,-3.72
163,18.11,0.76,4.24,-16.31,595.0,1976.0,1992.0,-3.72
164,18.11,0.76,4.24,-12.96,588.0,1960.0,2008.0,-3.91
165,18.11,0.76,4.24,-15.06,588.0,1968.0,2080.0,-4.11
166,18.11,0.76,4.24,-15.47,590.0,1960.0,2072.0,-4.11
167,18.11,0.76,4.24,-14.71,588.0,1968.0,2080.0,-4.3
168,18.11,0.76,4.24,-15.06,593.0,1936.0,2056.0,-4.3
169,18.17,0.76,4.24,-14.64,594.0,1952.0,2008.0,-4.3
170,18.17,0.76,4.24,-11.71,587.0,1968.0,2000.0,-4.5
171,18.17,0.76,4.24,-12.13,588.0,1936.0,1992.0,-4.5
172,18.17,0.76,4.24,-12.96,591.0,2016.0,2000.0,-2.15
173,18.11,0.76,4.24,-14.22,590.0,2000.0,1992.0,-2.15
174,18.11,0.76,4.24,-15.06,592.0,2048.0,1992.0,-1.76
175,18.11,0.76,4.24,-15.47,597.0,2072.0,1992.0,-1.18
176,18.11,0.76,4.24,-17.56,595.0,2056.0,2096.0,-1.37
177,18.11,0.76,4.24,-18.5,597.0,2064.0,2088.0,-3.52
178,18.11,0.76,4.24,-16.31,596.0,2000.0,2080.0,-3.72
179,18.11,0.76,4.24,-14.64,597.0,2016.0,2080.0,-3.72
180,18.11,0.76,4.24,-15.89,593.0,2016.0,2064.0,-3.91
181,18.11,0.76,4.24,-15.89,593.0,2000.0,2016.0,-3.91
182,18.11,0.76,4.24,-14.64,593.0,1968.0,2016.0,-4.11
183,18.11,0.76,4.24,-15.89,589.0,1984.0,2000.0,-4.11
184,18.11,0.76,4.24,-15.06,592.0,1976.0,2016.0,-1.76
185,18.11,0.76,4.24,-15.47,596.0,2024.0,1968.0,-1.76
186,18.11,0.76,4.24,-15.06,594.0,2064.0,1976.0,-1.57
187,18.11,0.76,4.24,-15.13,596.0,2048.0,1960.0,-1.57
188,18.11,0.76,4.24,-15.06,592.0,1992.0,2080.0,-3.91
189,18.11,0.76,4.24,-15.47,591.0,1968.0,2088.0,-3.91
190,18.11,0.76,4.24,-15.47,591.0,1968.0,2096.0,-3.91
191,18.11,0.76,4.24,-16.31,589.0,1968.0,2088.0,-3.91
192,18.17,0.76,4.24,-15.89,588.0,1976.0,2032.0,-1.57
193,18.17,0.76,4.24,-13.8,587.0,2056.0,2040.0,-1.57
194,18.17,0.76,4.24,-15.06,586.0,2016.0,1960.0,-1.57
195,18.17,0.76,4.24,-16.73,597.0,1976.0,2024.0,-1.57
196,18.17,0.76,4.24,-17.15,586.0,1944.0,1952.0,-3.91
197,18.17,0.76,4.24,-16.31,596.0,1928.0,1960.0,-3.91
198,18.17,0.76,4.24,-15.89,592.0,1920.0,1976.0,-3.91
199,18.17,0.76,4.24,-15.13,593.0,1912.0,1976.0,-3.91
200,18.17,0.76,4.24,-14.22,590.0,1936.0,1944.0,-3.91
201,18.17,0.76,4.24,-15.47,590.0,1984.0,1928.0,-1.57
202,18.17,0.76,4.24,-15.97,589.0,1992.0,1920.0,-1.37
203,18.17,0.76,4.24,-15.89,586.0,1976.0,1928.0,-0.98
204,18.17,0.76,4.24,-15.89,589.0,2024.0,1936.0,-0.79
205,18.17,0.76,4.24,-15.89,590.0,2016.0,2008.0,-0.98
206,18.17,0.76,4.24,-15.89,589.0,1960.0,2016.0,-3.33
207,18.17,0.76,4.24,-16.73,590.0,1952.0,2040.0,-3.33
208,18.17,0.76,4.24,-16.31,591.0,1960.0,2016.0,-3.33
209,18.17,0.76,4.24,-16.31,591.0,1936.0,2048.0,-3.52
210,18.17,0.76,4.24,-16.31,592.0,1944.0,1944.0,-3.72
211,18.17,0.76,4.24,-16.4,589.0,1896.0,1952.0,-3.72
212,18.17,0.76,4.24,-16.4,591.0,1928.0,1960.0,-3.91
213,18.17,0.76,4.24,-16.4,591.0,1928.0,1928.0,-3.91
214,18.17,0.76,4.24,-16.31,594.0,1912.0,1944.0,-4.11
215,18.17,0.76,4.24,-16.31,589.0,1880.0,1960.0,-4.11
216,18.17,0.76,4.24,-16.4,590.0,1920.0,1928.0,-4.11
217,18.17,0.76,4.24,-16.4,590.0,1928.0,1960.0,-4.3
218,18.17,0.76,4.24,-16.4,589.0,1928.0,1992.0,-4.3
219,18.17,0.76,4.24,-16.31,589.0,1888.0,2016.0,-4.3
220,18.17,0.76,4.24,-16.31,590.0,1896.0,2024.0,-4.5
221,18.17,0.76,4.24,-16.4,588.0,1888.0,2016.0,-4.5
222,18.17,0.76,4.24,-16.4,592.0,1920.0,1992.0,-4.5
223,18.17,0.76,4.24,-16.31,592.0,1912.0,1928.0,-4.5
224,18.17,0.76,4.24,-16.31,594.0,1904.0,1920.0,-4.5
225,18.17,0.76,4.24,-16.82,596.0,1904.0,1920.0,-4.69
226,18.17,0.76,4.24,-16.73,593.0,1960.0,1928.0,-2.35
227,18.17,0.76,4.24,-17.66,596.0,1952.0,1904.0,-2.35
228,18.17,0.76,4.24,-16.82,591.0,1976.0,1928.0,-2.35
229,18.17,0.76,4.24,-17.15,591.0,1904.0,1920.0,-4.69
230,18.17,0.76,4.24,-17.15,587.0,1880.0,2000.0,-4.69
231,18.17,0.76,4.24,-18.4,587.0,1904.0,1960.0,-4.69
232,18.17,0.76,4.24,-18.82,587.0,1872.0,1984.0,-4.89
233,18.17,0.76,4.25,-17.15,589.0,1872.0,2000.0,-4.89
234,18.23,0.76,4.25,-13.38,589.0,1952.0,1896.0,-2.55
235,18.29,0.76,4.25,-14.22,590.0,1944.0,1904.0,-2.55
236,18.29,0.76,4.25,-13.8,587.0,1904.0,1896.0,-2.55
237,18.29,0.76,4.25,-14.64,588.0,1936.0,1888.0,-2.55
238,18.29,0.76,4.25,-13.38,587.0,1856.0,1912.0,-5.08
239,18.29,0.76,4.25,-13.38,586.0,1856.0,1928.0,-5.08
240,18.29,0.76,4.25,-13.8,584.0,1840.0,1960.0,-5.08
241,18.29,0.76,4.25,-13.8,582.0,1792.0,1960.0,-5.08
242,18.29,0.76,4.25,-14.22,587.0,1840.0,1912.0,-5.08
243,18.29,0.75,4.25,-15.06,583.0,1880.0,1896.0,-2.55
244,18.29,0.76,4.25,-15.89,580.0,1888.0,1824.0,-2.55
245,18.29,0.76,4.25,-15.47,588.0,1856.0,1872.0,-2.15
246,18.29,0.76,4.25,-17.56,591.0,1864.0,1856.0,-1.57
247,18.29,0.75,4.25,-17.15,582.0,1896.0,1872.0,-1.18
248,18.29,0.75,4.25,-17.24,586.0,1904.0,1912.0,-0.79
249,18.29,0.75,4.25,-16.31,587.0,1912.0,1912.0,-0.59
250,18.29,0.75,4.25,-15.06,585.0,1920.0,1912.0,-0.59
251,18.29,0.75,4.25,-15.89,589.0,1848.0,1936.0,-2.94
252,18.29,0.75,4.25,-15.47,582.0,1856.0,1920.0,-2.94
253,18.29,0.75,4.25,-14.29,587.0,1848.0,1952.0,-3.13
254,18.29,0.75,4.25,-16.31,580.0,1872.0,1960.0,-3.13
255,18.29,0.75,4.25,-14.29,579.0,1896.0,1888.0,-0.79
256,18.29,0.75,4.25,-13.38,581.0,1912.0,1888.0,-0.79
257,18.29,0.75,4.25,-17.15,584.0,1928.0,1872.0,-0.79
258,18.29,0.75,4.25,-15.89,585.0,1928.0,1888.0,-0.59
259,18.29,0.75,4.25,-15.89,584.0,1848.0,1904.0,-2.94
260,18.29,0.75,4.25,-15.97,583.0,1872.0,1872.0,-2.94
261,18.29,0.75,4.25,-15.89,582.0,1824.0,1872.0,-3.13
262,18.29,0.75,4.25,-17.56,584.0,1864.0,1880.0,-3.13
263,18.29,0.75,4.25,-16.73,588.0,1848.0,1840.0,-3.13
264,18.29,0.75,4.25,-15.13,588.0,1840.0,1840.0,-3.33
265,18.29,0.75,4.25,-15.89,587.0,1840.0,1832.0,-3.33
266,18.29,0.75,4.25,-15.89,589.0,1832.0,1888.0,-3.33
267,18.29,0.75,4.25,-16.31,586.0,1808.0,1904.0,-3.52
268,18.29,0.75,4.25,-15.47,580.0,1824.0,1904.0,-3.52
269,18.29,0.75,4.25,-13.8,585.0,1848.0,1944.0,-3.52
270,18.29,0.75,4.25,-16.31,588.0,1904.0,1880.0,-1.18
271,18.29,0.75,4.25,-16.31,588.0,1896.0,1880.0,-0.98
272,18.29,0.75,4.25,-16.31,590.0,1888.0,1872.0,-0.98
273,18.29,0.75,4.25,-17.15,586.0,1912.0,1840.0,-3.33
274,18.29,0.75,4.25,-17.15,587.0,1808.0,1856.0,-3.33
275,18.29,0.75,4.25,-17.15,583.0,1808.0,1840.0,-3.52
276,18.29,0.75,4.25,-17.24,584.0,1840.0,1824.0,-3.52
277,18.29,0.75,4.25,-17.15,579.0,1816.0,1840.0,-3.72
278,18.29,0.75,4.25,-17.15,579.0,1824.0,1824.0,-3.72
279,18.29,0.75,4.25,-17.15,580.0,1824.0,1880.0,-3.72
280,18.29,0.75,4.25,-17.15,583.0,1808.0,1896.0,-3.72
281,18.29,0.75,4.25,-19.24,580.0,1832.0,1840.0,-3.72
282,18.29,0.75,4.25,-15.06,578.0,1840.0,1832.0,-1.18
283,18.29,0.75,4.25,-15.89,580.0,1840.0,1880.0,-0.98
284,18.29,0.75,4.25,-16.31,581.0,1896.0,1808.0,-0.59
285,18.29,0.75,4.25,-16.31,580.0,1840.0,1824.0,-0.4
286,18.29,0.75,4.25,-16.31,577.0,1872.0,1832.0,-0.01
287,18.29,0.75,4.25,-16.31,577.0,1872.0,1808.0,-0.01
288,18.29,0.75,4.25,-16.31,576.0,1888.0,1856.0,-0.01
289,18.29,0.75,4.25,-16.31,577.0,1872.0,1848.0,-2.35
290,18.29,0.75,4.25,-16.31,584.0,1832.0,1864.0,-2.35
291,18.29,0.75,4.25,-17.56,580.0,1792.0,1888.0,-2.35
292,18.29,0.75,4.25,-17.56,582.0,1824.0,1872.0,-2.35
293,18.29,0.75,4.25,-18.4,581.0,1800.0,1904.0,-0.01
294,18.29,0.75,4.25,-15.47,584.0,1896.0,1888.0,-0.01
295,18.29,0.75,4.25,-14.57,584.0,1888.0,1840.0,-0.01
296,18.29,0.75,4.25,-15.47,580.0,1864.0,1848.0,0.19
297,18.29,0.75,4.25,-15.89,577.0,1872.0,1848.0,0.58
298,18.29,0.75,4.25,-14.64,573.0,1896.0,1856.0,0.58
299,18.29,0.75,4.25,-12.96,577.0,1824.0,1904.0,-1.76
300,18.29,0.75,4.25,-12.96,574.0,1848.0,1904.0,-1.76
301,18.29,0.75,4.25,-11.71,579.0,1824.0,1896.0,-1.96
302,18.29,0.75,4.25,-12.96,580.0,1832.0,1920.0,-1.96
303,18.29,0.75,4.25,-12.96,577.0,1840.0,1920.0,-2.15
304,18.29,0.75,4.25,-12.96,582.0,1808.0,1840.0,-2.15
305,18.29,0.75,4.25,-12.96,583.0,1840.0,1840.0,-2.15
306,18.29,0.75,4.25,-12.96,585.0,1888.0,1832.0,0.19
307,18.29,0.75,4.25,-12.96,586.0,1816.0,1792.0,0.19
308,18.29,0.75,4.25,-12.96,583.0,1896.0,1840.0,0.19
309,18.29,0.75,4.25,-12.96,588.0,1840.0,1832.0,0.38
310,18.29,0.75,4.25,-12.55,583.0,1856.0,1856.0,-1.96
311,18.29,0.75,4.25,-12.96,584.0,1848.0,1848.0,-1.96
312,18.29,0.75,4.25,-12.13,580.0,1816.0,1912.0,-2.15
313,18.29,0.75,4.25,-10.93,583.0,1760.0,1904.0,-2.15
314,18.29,0.75,4.25,-10.46,585.0,1840.0,1840.0,-2.35
315,18.29,0.75,4.25,-11.29,582.0,1752.0,1784.0,-2.35
316,18.29,0.75,4.25,-12.13,582.0,1856.0,1840.0,-0.01
317,18.29,0.75,4.25,-15.06,581.0,1904.0,1800.0,-0.01
318,18.29,0.75,4.25,-13.8,587.0,1840.0,1824.0,-0.01
319,18.29,0.75,4.25,-12.96,585.0,1832.0,1848.0,-2.35
320,18.29,0.75,4.25,-12.96,586.0,1832.0,1912.0,-2.35
321,18.29,0.75,4.25,-11.29,586.0,1832.0,1872.0,-2.35
322,18.29,0.75,4.25,-11.35,574.0,1824.0,1872.0,-2.55
323,18.41,0.71,4.3,-18.08,578.0,1680.0,1672.0,-2.74
324,18.94,0.71,4.3,-12.19,603.0,1576.0,1528.0,-0.4
325,19.35,0.71,4.3,-13.32,630.0,1440.0,1352.0,-0.4
326,19.76,0.71,4.29,-17.56,627.0,1336.0,1336.0,-0.2
327,20.0,0.71,4.3,-15.47,615.0,1288.0,1232.0,-0.2
328,20.18,0.71,4.3,-15.47,602.0,1272.0,1224.0,-0.2
329,20.24,0.71,4.3,-17.5,628.0,1272.0,0.0,-0.01
330,20.94,0.56,4.44,-31.98,613.0,0.0,0.0,-0.01
331,22.07,0.56,4.44,-36.16,429.0,0.0,0.0,-0.01
332,22.6,0.56,4.37,-36.13,0.0,0.0,0.0,-0.01
333,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
334,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
335,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
336,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
337,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
338,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
339,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
340,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
341,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
342,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
343,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
344,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
345,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
346,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
347,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
348,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
349,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
350,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
351,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
352,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
353,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
354,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
355,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
356,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
357,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
358,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
359,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
360,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
361,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
362,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
363,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
364,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
365,22.6,0.93,4.07,-36.13,0.0,0.0,0.0,-0.01
