frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,Engine Speed,1/1 O2 Sensor Level,1/1 Short Term ADAP,2/1 Short Term ADAP,Intake Air Temp
96,19.18,0.84,4.16,999.0,,-0.4,6.44,138.2
97,19.0,0.85,4.15,1000.0,,-0.4,7.42,138.2
98,18.64,0.86,4.14,998.0,,4.88,7.42,136.4
99,18.23,0.88,4.12,998.0,,5.66,2.34,136.4
100,17.64,0.89,4.11,1010.0,,6.83,7.61,136.4
101,17.29,0.89,4.1,1033.0,,1.56,8.39,136.4
102,16.64,0.93,4.05,1061.0,,6.44,10.15,136.4
103,15.63,0.97,4.03,1116.0,,7.22,4.68,136.4
104,14.99,0.97,4.02,1175.0,,3.9,2.73,136.4
105,14.93,0.97,4.03,1201.0,,3.12,0.97,136.4
106,14.93,0.97,4.03,1206.0,,-0.2,-1.96,136.4
107,14.99,0.97,4.03,1185.0,,-3.13,3.12,136.4
108,14.99,0.96,4.04,1179.0,,-2.55,5.66,136.4
109,15.16,0.96,4.04,1183.0,,3.12,0.97,136.4
110,15.28,0.95,4.04,1168.0,,3.7,-0.79,136.4
111,15.28,0.95,4.05,1157.0,,-1.57,4.49,136.4
112,15.46,0.94,4.07,1151.0,,2.92,6.44,136.4
113,15.69,0.93,4.07,1144.0,,4.29,0.38,136.4
114,15.87,0.93,4.07,1142.0,,-0.4,-1.18,136.4
115,15.93,0.93,4.07,1128.0,,-1.96,4.29,136.4
116,15.87,0.93,4.07,1133.0,,3.12,7.22,136.4
117,15.87,0.93,4.06,1144.0,,3.7,1.56,136.4
118,15.93,0.94,4.06,1146.0,,5.46,-0.01,136.4
119,15.81,0.94,4.06,1156.0,,-0.2,5.27,136.4
120,15.81,0.94,4.06,1165.0,,-2.35,6.83,136.4
121,15.81,0.95,4.06,1170.0,,2.92,0.97,136.4
122,15.75,0.95,4.06,1184.0,,4.68,-0.98,136.4
123,15.81,0.95,4.05,1196.0,,-1.18,4.29,136.4
124,15.81,0.95,4.05,1211.0,,-2.55,6.05,136.4
125,15.87,0.95,4.05,1226.0,,2.73,-0.01,136.4
126,15.99,0.95,4.05,1247.0,,5.46,-1.76,136.4
127,16.05,0.97,4.03,1270.0,,-0.4,4.09,134.6
128,15.87,0.98,4.02,1293.0,,-1.76,8.39,134.6
129,15.63,1.0,4.0,1327.0,,3.9,3.12,134.6
130,14.99,1.03,3.96,1370.0,,6.63,7.81,134.6
131,14.4,1.05,3.95,1429.0,,1.95,9.56,134.6
132,14.16,1.06,3.94,1479.0,,7.02,2.73,134.6
133,14.16,1.06,3.94,1510.0,,9.56,7.02,134.6
134,14.57,1.04,3.96,1530.0,,3.7,7.42,134.6
135,14.99,1.04,3.96,1540.0,,1.56,1.56,134.6
136,15.16,1.04,3.96,1558.0,,7.02,1.36,134.6
137,15.28,1.04,3.96,1596.0,,2.53,7.42,134.6
138,15.52,1.04,3.96,1623.0,,1.17,3.31,134.6
139,15.75,1.03,3.97,1655.0,,5.46,0.97,134.6
140,16.22,1.03,3.97,1687.0,,0.97,0.58,134.6
141,16.34,1.04,3.96,1716.0,,0.58,6.24,134.6
142,16.4,1.03,3.97,1748.0,,6.83,0.19,134.6
143,16.7,1.02,3.98,1762.0,,1.36,5.66,134.6
144,17.05,1.02,3.98,1769.0,,6.24,1.36,134.6
145,17.23,1.02,3.98,1743.0,,2.34,6.24,134.6
146,17.23,0.99,4.02,1491.0,,0.38,2.14,134.6
147,17.17,0.95,4.06,1279.0,,-2.15,0.97,134.6
148,16.93,0.93,4.07,1223.0,,-4.11,-0.98,132.8
149,16.76,0.93,4.07,1206.0,,-4.69,-2.74,132.8
150,16.76,0.91,4.09,1200.0,,1.17,0.38,132.8
151,17.58,0.87,4.13,1193.0,,6.05,6.24,132.8
152,18.58,0.82,4.18,1156.0,,0.19,6.83,132.8
153,19.35,0.81,4.19,1133.0,,-0.79,0.58,132.8
154,19.94,0.81,4.18,1126.0,,-2.55,-0.79,132.8
155,20.0,0.82,4.18,1121.0,,-3.13,-1.76,132.8
156,20.06,0.82,4.18,1114.0,,1.75,-1.96,132.8
157,20.12,0.83,4.17,1127.0,,1.95,-0.4,132.8
158,20.0,0.83,4.17,1141.0,,3.31,5.85,132.8
159,19.94,0.83,4.17,1152.0,,-1.96,6.83,132.8
160,19.94,0.84,4.17,1137.0,,-2.74,1.17,132.8
161,19.94,0.81,4.19,1128.0,,2.34,0.97,132.8
162,20.06,0.8,4.2,1121.0,,2.14,-0.59,132.8
163,20.77,0.73,4.26,1105.0,,-3.33,-1.57,132.8
164,21.42,0.75,4.26,1092.0,,-3.72,-2.55,132.8
165,21.71,0.75,4.25,1084.0,,-4.3,-3.33,132.8
166,21.83,0.75,4.25,1075.0,,-5.08,-3.72,132.8
167,21.95,0.73,4.27,1008.0,,-5.47,-4.3,132.8
168,22.12,0.72,4.28,971.0,,-6.06,0.77,132.8
169,22.3,0.71,4.29,945.0,,-6.45,0.77,132.8
170,22.48,0.71,4.3,931.0,,-6.65,0.97,132.8
171,22.48,0.71,4.29,900.0,,-7.04,0.97,132.8
172,22.48,0.71,4.29,883.0,,-7.43,-0.01,132.8
173,22.42,0.71,4.29,878.0,,-2.15,-5.08,132.8
174,22.36,0.71,4.29,867.0,,-2.15,-5.47,132.8
175,22.3,0.71,4.29,884.0,,-1.37,-5.87,132.8
176,22.3,0.71,4.29,885.0,,-0.59,-6.26,132.8
177,22.3,0.71,4.3,892.0,,-0.2,-6.65,132.8
178,22.3,0.71,4.3,888.0,,-5.28,-6.84,132.8
179,22.3,0.71,4.3,875.0,,-5.47,-1.76,132.8
180,22.3,0.71,4.3,862.0,,-5.87,-1.76,132.8
181,22.3,0.71,4.3,862.0,,-5.87,-1.57,132.8
182,22.3,0.71,4.3,855.0,,-6.06,-0.79,132.8
183,22.3,0.71,4.3,847.0,,-1.18,-5.87,132.8
184,22.24,0.71,4.3,848.0,,-0.98,-5.87,132.8
185,22.24,0.71,4.3,848.0,,-0.59,-6.06,132.8
186,22.18,0.71,4.3,845.0,,-0.01,-6.26,132.8
187,22.18,0.71,4.3,839.0,,-0.01,-6.26,132.8
188,22.12,0.71,4.3,827.0,,-5.08,-1.18,132.8
189,22.12,0.71,4.3,824.0,,-5.47,-0.59,132.8
190,22.07,0.71,4.3,822.0,,-5.67,-0.2,132.8
191,22.07,0.71,4.3,816.0,,-6.06,-0.2,132.8
192,21.95,0.7,4.3,802.0,,-6.84,-5.28,132.8
193,21.89,0.71,4.3,791.0,,-7.43,-5.87,132.8
194,21.83,0.71,4.29,768.0,,-7.82,-6.26,132.8
195,21.36,0.73,4.28,761.0,,-8.4,-7.04,132.8
196,21.3,0.7,4.3,796.0,,-8.79,-7.62,132.8
197,21.54,0.7,4.3,823.0,,-9.77,-8.4,132.8
198,21.71,0.7,4.3,819.0,,-10.36,-8.99,132.8
199,21.83,0.7,4.3,818.0,,-10.94,-9.58,132.8
200,21.83,0.7,4.3,803.0,,-11.33,-9.97,132.8
201,21.83,0.7,4.3,784.0,,-11.72,-10.36,132.8
202,21.83,0.7,4.29,773.0,,-11.72,-10.55,132.8
203,21.54,0.73,4.27,723.0,,-6.65,-10.55,132.8
204,20.94,0.74,4.26,693.0,,-6.65,-10.16,132.8
205,20.47,0.74,4.26,674.0,,-6.26,-9.19,132.8
206,20.06,0.74,4.26,674.0,,-5.47,-8.6,132.8
207,19.76,0.75,4.26,682.0,,-4.69,-2.94,132.8
208,19.65,0.74,4.26,697.0,,-9.97,-2.94,132.8
209,19.65,0.75,4.26,698.0,,-10.36,-2.74,132.8
210,19.29,0.81,4.19,702.0,,-10.55,-3.72,132.8
211,18.35,0.85,4.14,737.0,,-10.94,-4.3,132.8
212,16.52,0.92,4.08,849.0,,-13.68,-9.38,132.8
213,15.1,0.93,4.07,963.0,,-8.21,-10.75,132.8
214,14.57,0.95,4.05,1040.0,,-7.23,-6.26,132.8
215,14.46,0.96,4.04,1114.0,,-0.79,-1.96,132.8
216,14.46,0.96,4.03,1155.0,,3.9,3.9,132.8
217,14.63,0.97,4.03,1185.0,,4.29,7.61,132.8
218,14.69,1.0,4.01,1196.0,,-0.98,5.85,132.8
219,14.34,0.99,4.01,1207.0,,-2.74,0.19,132.8
220,14.22,0.99,4.01,1214.0,,2.53,-2.15,132.8
221,14.22,1.0,4.0,1233.0,,4.09,2.92,132.8
222,14.16,1.03,3.95,1254.0,,-2.94,6.05,132.8
223,13.04,1.06,3.94,1292.0,,2.73,0.58,132.8
224,12.74,1.07,3.93,1341.0,,-1.76,-0.98,132.8
225,12.68,1.07,3.92,1385.0,,-1.37,6.83,132.8
226,12.63,1.09,3.91,1403.0,,4.68,1.75,132.8
227,12.45,1.09,3.91,1439.0,,8.78,6.44,132.8
228,12.45,1.1,3.9,1437.0,,2.92,7.81,132.8
229,12.21,1.11,3.89,1473.0,,1.75,1.75,132.8
230,12.04,1.14,3.86,1490.0,,0.97,6.24,132.8
231,11.56,1.14,3.86,1530.0,,6.63,1.17,131.0
232,11.45,1.16,3.84,1567.0,,1.75,-0.59,131.0
233,11.27,1.16,3.84,1601.0,,-0.59,5.07,131.0
234,11.15,1.17,3.82,1640.0,,-1.18,-1.18,131.0
235,11.03,1.18,3.82,1671.0,,4.09,3.51,131.0
236,11.03,1.19,3.81,1708.0,,-1.96,-0.79,131.0
237,10.91,1.2,3.8,1749.0,,-1.37,3.9,131.0
238,10.91,1.2,3.8,1780.0,,-1.76,4.49,131.0
239,10.97,1.21,3.79,1810.0,,4.49,4.09,131.0
240,10.97,1.21,3.79,1836.0,,3.9,5.07,131.0
241,11.03,1.22,3.78,1871.0,,-0.98,-0.59,131.0
242,11.03,1.23,3.77,1924.0,,3.51,-0.4,131.0
243,11.09,1.25,3.75,1979.0,,3.31,-0.4,129.2
244,11.09,1.25,3.75,2031.0,,-1.57,5.07,129.2
245,11.15,1.26,3.74,2066.0,,4.09,-0.79,129.2
246,11.21,1.27,3.72,2088.0,,3.7,0.19,129.2
247,10.32,1.29,3.72,1984.0,,-0.79,5.07,129.2
248,9.85,1.26,3.74,1836.0,,-1.76,-0.98,129.2
249,9.44,1.23,3.77,1681.0,,-1.96,-2.15,129.2
250,9.44,1.22,3.78,1675.0,,-3.33,2.34,129.2
251,9.32,1.23,3.77,1674.0,,2.73,-2.35,129.2
252,9.26,1.23,3.77,1689.0,,-1.37,2.34,129.2
253,9.09,1.24,3.76,1704.0,,3.31,-1.57,129.2
254,9.03,1.25,3.75,1710.0,,-1.18,3.12,127.4
255,8.91,1.26,3.74,1735.0,,3.31,-1.96,127.4
256,8.55,1.28,3.72,1760.0,,-2.55,2.53,127.4
257,8.2,1.29,3.71,1778.0,,2.73,-2.94,127.4
258,8.02,1.3,3.7,1793.0,,-2.55,2.92,127.4
259,8.02,1.3,3.7,1800.0,,-2.55,2.34,127.4
260,8.02,1.3,3.71,1815.0,,1.95,-2.74,127.4
261,8.14,1.3,3.71,1817.0,,-2.94,1.95,127.4
262,8.2,1.29,3.71,1827.0,,1.95,-2.74,127.4
263,8.26,1.29,3.71,1789.0,,-3.72,2.53,127.4
264,8.26,1.28,3.73,1752.0,,3.31,-3.33,127.4
265,8.38,1.27,3.73,1754.0,,-3.33,-2.94,125.6
266,8.38,1.28,3.73,1746.0,,-3.13,1.95,125.6
267,8.26,1.27,3.73,1729.0,,1.36,-2.55,125.6
268,8.32,1.27,3.73,1708.0,,-3.33,2.34,125.6
269,8.32,1.26,3.74,1697.0,,1.36,-3.52,125.6
270,8.2,1.27,3.74,1681.0,,-4.11,-2.74,125.6
271,8.08,1.26,3.74,1640.0,,1.36,1.95,125.6
272,7.91,1.27,3.74,1633.0,,1.17,-2.55,125.6
273,7.85,1.27,3.74,1647.0,,-3.91,2.14,125.6
274,7.91,1.27,3.73,1681.0,,1.36,-3.13,125.6
275,7.85,1.28,3.72,1717.0,,1.56,-2.55,125.6
276,7.79,1.29,3.71,1743.0,,-3.72,2.14,125.6
277,7.79,1.29,3.72,1761.0,,1.56,-3.33,125.6
278,8.08,1.28,3.72,1781.0,,-3.52,2.73,125.6
279,8.73,1.25,3.76,1804.0,,-3.72,1.75,125.6
280,9.73,1.21,3.79,1818.0,,-5.08,-3.72,125.6
281,10.91,1.19,3.81,1843.0,,-4.89,1.17,125.6
282,11.74,1.19,3.81,1868.0,,1.95,-2.94,125.6
283,11.92,1.19,3.81,1894.0,,-3.52,4.09,123.8
284,12.09,1.22,3.78,2026.0,,2.34,-1.18,123.8
285,11.98,1.2,3.8,1982.0,,-3.13,4.68,123.8
286,12.68,1.18,3.82,2024.0,,2.53,-1.37,123.8
287,13.39,1.17,3.84,2031.0,,1.95,-0.79,123.8
288,14.22,1.13,3.87,2038.0,,-2.55,4.09,123.8
289,14.99,1.13,3.87,2044.0,,2.34,-0.01,123.8
290,15.22,1.13,3.87,2025.0,,4.88,5.46,123.8
291,15.04,1.07,3.94,1679.0,,-0.59,7.02,123.8
292,15.1,1.03,3.97,1399.0,,-3.13,1.17,123.8
293,14.87,1.01,3.99,1301.0,,-4.89,-1.37,123.8
294,14.46,1.04,3.95,1322.0,,0.58,-2.35,123.8
295,13.57,1.06,3.94,1377.0,,5.07,3.7,123.8
296,13.16,1.07,3.92,1378.0,,7.22,7.81,123.8
297,12.45,1.09,3.91,1371.0,,1.17,5.46,123.8
298,11.98,1.1,3.9,1365.0,,-0.01,-0.2,123.8
299,11.62,1.1,3.9,1330.0,,-0.79,-0.79,123.8
300,11.39,1.09,3.91,1306.0,,4.29,-0.79,123.8
301,11.27,1.09,3.91,1299.0,,-1.18,4.49,123.8
302,11.09,1.09,3.91,1296.0,,-2.35,-0.4,123.8
303,11.03,1.1,3.9,1302.0,,2.92,-0.98,123.8
304,10.86,1.11,3.89,1312.0,,-2.35,5.07,123.8
305,10.68,1.11,3.89,1316.0,,2.34,-0.01,123.8
306,10.56,1.12,3.88,1323.0,,-2.35,-1.18,123.8
307,10.44,1.12,3.87,1330.0,,-2.35,4.29,123.8
308,10.38,1.13,3.87,1346.0,,3.51,-1.18,123.8
309,10.32,1.13,3.87,1352.0,,-1.37,3.7,123.8
310,10.32,1.13,3.87,1355.0,,3.51,-0.98,123.8
311,10.38,1.13,3.87,1366.0,,-1.18,3.7,123.8
312,10.38,1.14,3.86,1378.0,,3.12,-1.18,123.8
313,10.32,1.14,3.86,1378.0,,-1.18,3.7,123.8
314,10.32,1.14,3.86,1390.0,,-1.76,-0.98,123.8
315,10.27,1.14,3.86,1395.0,,4.49,3.7,123.8
316,10.32,1.14,3.86,1403.0,,-1.57,4.49,123.8
317,10.32,1.14,3.86,1404.0,,3.51,-1.37,123.8
318,10.32,1.14,3.86,1411.0,,-1.57,4.29,123.8
319,10.38,1.14,3.86,1414.0,,3.31,-1.18,122.0
320,10.44,1.14,3.86,1427.0,,-1.18,3.9,122.0
321,10.5,1.15,3.86,1436.0,,-2.15,-0.79,122.0
322,10.56,1.15,3.85,1439.0,,3.12,-1.37,122.0
323,10.5,1.15,3.85,1447.0,,-1.18,4.68,122.0
324,10.5,1.15,3.85,1451.0,,3.7,-1.76,122.0
325,10.56,1.15,3.85,1460.0,,-1.37,3.51,122.0
326,10.62,1.15,3.85,1463.0,,3.12,-1.57,122.0
327,10.62,1.15,3.85,1461.0,,-1.76,3.31,122.0
328,10.97,1.11,3.9,1477.0,,3.9,-2.55,122.0
329,12.15,1.09,3.91,1481.0,,-2.15,3.12,122.0
330,12.63,1.09,3.91,1482.0,,3.12,-1.37,122.0
331,12.63,1.11,3.89,1491.0,,-1.76,3.31,122.0
332,12.45,1.11,3.89,1489.0,,2.92,5.66,122.0
333,12.39,1.1,3.9,1492.0,,4.88,0.19,122.0
334,12.74,1.09,3.92,1493.0,,-0.98,-1.18,122.0
335,13.39,1.04,3.96,1505.0,,-1.96,4.29,122.0
336,14.81,1.02,3.99,1494.0,,5.46,3.9,122.0
337,15.34,1.0,4.0,1504.0,,-0.01,5.46,122.0
338,15.87,1.0,4.0,1578.0,,4.29,1.56,122.0
339,16.34,0.99,4.02,1515.0,,5.85,0.19,122.0
340,16.64,0.98,4.02,1546.0,,-0.01,5.07,122.0
341,16.99,0.98,4.02,1565.0,,-0.79,6.05,122.0
342,17.23,0.97,4.03,1554.0,,4.68,-0.4,122.0
343,17.35,0.97,4.03,1559.0,,-0.98,4.49,122.0
344,17.46,0.97,4.03,1554.0,,-0.79,-0.01,122.0
345,17.11,0.96,4.04,1278.0,,5.46,-0.98,122.0
346,16.58,0.94,4.06,1220.0,,-0.59,-2.55,122.0
347,16.4,0.94,4.06,1235.0,,-2.35,2.14,122.0
348,16.34,0.94,4.05,1237.0,,-0.59,5.07,122.0
349,15.99,0.98,4.02,1246.0,,4.88,6.63,122.0
350,15.28,0.99,4.0,1271.0,,4.88,0.77,122.0
351,14.75,1.01,3.99,1289.0,,-0.79,-0.79,122.0
352,14.34,1.02,3.98,1276.0,,-0.98,4.68,122.0
353,13.81,1.03,3.97,1240.0,,5.46,-0.4,122.0
354,13.22,1.02,3.98,1178.0,,1.17,-1.76,122.0
355,12.86,1.01,4.0,1097.0,,-0.4,-3.13,122.0
356,12.68,1.0,4.0,1103.0,,-2.74,-3.91,122.0
357,12.57,1.0,4.0,1102.0,,-3.72,1.56,122.0
358,12.27,1.01,3.99,1106.0,,-4.11,-3.13,122.0
359,12.15,1.01,3.99,1096.0,,1.17,-2.55,122.0
360,11.8,1.02,3.98,1100.0,,3.7,4.29,122.0
361,11.56,1.02,3.98,1099.0,,-1.96,5.46,122.0
362,11.39,1.02,3.97,1094.0,,2.92,-0.2,120.2
363,11.03,1.04,3.96,1085.0,,-1.37,5.27,120.2
364,10.44,1.06,3.93,1087.0,,-1.76,0.97,120.2
365,9.85,1.07,3.93,1088.0,,4.88,0.19,120.2
366,9.5,1.08,3.92,1092.0,,-0.4,5.46,120.2
367,9.26,1.08,3.91,1092.0,,4.29,-0.4,120.2
368,8.85,1.1,3.9,1087.0,,6.05,4.49,120.2
369,8.55,1.1,3.9,1084.0,,-0.01,4.68,120.2
370,8.26,1.12,3.88,1086.0,,-0.98,-0.79,120.2
371,7.79,1.13,3.87,1091.0,,4.29,-0.98,120.2
372,7.43,1.14,3.86,1084.0,,-0.98,4.49,120.2
373,7.02,1.16,3.84,1081.0,,3.51,-0.59,120.2
374,6.73,1.16,3.84,1086.0,,4.29,4.09,120.2
375,6.55,1.16,3.84,1090.0,,-1.18,5.85,120.2
376,6.43,1.17,3.83,1084.0,,3.51,0.19,120.2
377,6.43,1.17,3.83,1085.0,,4.09,-0.79,120.2
378,6.31,1.17,3.83,1084.0,,-1.37,4.88,120.2
379,6.31,1.17,3.83,1084.0,,3.7,0.19,120.2
380,6.31,1.18,3.82,1103.0,,-0.59,-0.79,120.2
381,6.25,1.18,3.82,1096.0,,-0.98,5.07,120.2
382,6.19,1.18,3.82,1097.0,,4.68,-0.4,120.2
383,6.14,1.18,3.82,1095.0,,-0.2,4.29,120.2
384,6.14,1.18,3.82,1097.0,,-0.98,-0.59,120.2
385,6.14,1.18,3.82,1101.0,,4.49,-1.37,120.2
386,6.19,1.18,3.82,1093.0,,-0.2,4.09,120.2
387,6.19,1.18,3.82,1110.0,,-0.98,-0.79,120.2
388,6.14,1.18,3.82,1108.0,,4.29,-0.4,120.2
389,6.08,1.18,3.81,1107.0,,-1.18,4.49,120.2
390,6.08,1.18,3.81,1111.0,,3.7,-0.98,120.2
391,6.02,1.19,3.81,1111.0,,-1.37,3.51,118.4
392,6.02,1.18,3.84,1119.0,,-1.96,-0.98,118.4
393,7.32,1.05,3.97,1115.0,,-2.94,-2.15,118.4
394,10.15,0.94,4.07,1109.0,,-4.11,-3.52,118.4
395,14.16,0.73,4.29,1106.0,,-6.06,-4.3,118.4
396,18.58,0.71,4.29,1253.0,,-6.84,-4.69,120.2
397,21.06,0.72,4.29,1158.0,,-7.82,0.58,120.2
398,21.83,0.72,4.29,1136.0,,-8.21,1.36,120.2
399,22.18,0.73,4.28,1133.0,,-8.79,2.73,120.2
400,22.24,0.73,4.27,1124.0,,-9.38,2.92,120.2
401,22.24,0.73,4.27,1112.0,,-9.58,-2.35,120.2
402,22.24,0.73,4.28,1105.0,,-9.77,-2.74,120.2
403,22.3,0.73,4.28,1091.0,,-10.36,-3.52,120.2
404,22.3,0.72,4.28,1081.0,,-10.75,-4.3,120.2
405,22.36,0.72,4.29,1061.0,,-5.67,-5.08,120.2
406,22.42,0.71,4.29,1045.0,,-5.47,-5.67,120.2
407,22.48,0.71,4.29,1024.0,,-5.28,-5.87,120.2
408,22.48,0.71,4.3,1012.0,,-5.47,-0.98,120.2
409,22.48,0.71,4.3,988.0,,-10.55,-0.4,120.2
410,22.48,0.7,4.3,956.0,,-10.75,-0.01,120.2
411,22.48,0.7,4.31,940.0,,-10.36,0.97,120.2
412,22.48,0.7,4.31,920.0,,-4.3,0.97,120.2
413,22.48,0.69,4.31,911.0,,-3.91,-4.11,120.2
414,22.36,0.79,4.22,889.0,,-3.52,-4.3,120.2
415,21.0,0.8,4.19,899.0,,-2.94,-4.5,120.2
416,19.88,0.83,4.16,944.0,,-8.21,-5.47,120.2
417,19.18,0.77,4.23,1052.0,,-8.4,-7.04,120.2
418,20.53,0.72,4.28,1094.0,,-9.58,-8.4,120.2
419,21.48,0.71,4.29,1027.0,,-10.55,-9.38,120.2
420,22.07,0.7,4.3,978.0,,-11.33,-9.97,120.2
